"time","series"
1,742
1.08333333333333,697
1.16666666666667,776
1.25,898
1.33333333333333,1030
1.41666666666667,1107
1.5,1165
1.58333333333333,1216
1.66666666666667,1208
1.75,1131
1.83333333333333,971
1.91666666666667,783
2,741
2.08333333333333,700
2.16666666666667,774
2.25,932
2.33333333333333,1099
2.41666666666667,1223
2.5,1290
2.58333333333333,1349
2.66666666666667,1341
2.75,1296
2.83333333333333,1066
2.91666666666667,901
3,896
3.08333333333333,793
3.16666666666667,885
3.25,1055
3.33333333333333,1204
3.41666666666667,1326
3.5,1303
3.58333333333333,1436
3.66666666666667,1473
3.75,1453
3.83333333333333,1170
3.91666666666667,1023
4,951
4.08333333333333,861
4.16666666666667,938
4.25,1109
4.33333333333333,1274
4.41666666666667,1422
4.5,1486
4.58333333333333,1555
4.66666666666667,1604
4.75,1600
4.83333333333333,1403
4.91666666666667,1209
5,1030
5.08333333333333,1032
5.16666666666667,1126
5.25,1285
5.33333333333333,1468
5.41666666666667,1637
5.5,1611
5.58333333333333,1608
5.66666666666667,1528
5.75,1420
5.83333333333333,1119
5.91666666666667,1013
